Date,Consumption (MWh),t,Mon,Tue,Wed,Thu,Fri,Sat,temp
01.01.2023,"660,156",1,0,0,0,0,0,1,3.3
02.01.2023,"858,516",2,0,0,0,0,0,0,2.5
03.01.2023,"733,089",3,1,0,0,0,0,0,1.9
04.01.2023,"773,092",4,0,1,0,0,0,0,1.3
05.01.2023,"777,213",5,0,0,1,0,0,0,2.9
06.01.2023,"799,889",6,0,0,0,1,0,0,0.9
07.01.2023,"803,796",7,0,0,0,0,1,0,1.3
08.01.2023,"746,639",8,0,0,0,0,0,1,0.3
09.01.2023,"771,510",9,0,0,0,0,0,0,0.5
10.01.2023,"857,332",10,1,0,0,0,0,0,0.1
11.01.2023,"765,577",11,0,1,0,0,0,0,4
12.01.2023,"825,845",12,0,0,1,0,0,0,6.9
13.01.2023,"831,498",13,0,0,0,1,0,0,3.4
14.01.2023,"850,249",14,0,0,0,0,1,0,2.5
15.01.2023,"754,891",15,0,0,0,0,0,1,2.2
16.01.2023,"871,165",16,0,0,0,0,0,0,3.2
17.01.2023,"896,479",17,1,0,0,0,0,0,5.5
18.01.2023,"742,278",18,0,1,0,0,0,0,8.3
19.01.2023,"800,290",19,0,0,1,0,0,0,6.7
20.01.2023,"862,439",20,0,0,0,1,0,0,6
21.01.2023,"808,735",21,0,0,0,0,1,0,6
22.01.2023,"692,824",22,0,0,0,0,0,1,5.5
23.01.2023,"767,796",23,0,0,0,0,0,0,5.3
24.01.2023,"875,148",24,1,0,0,0,0,0,4.1
25.01.2023,"809,841",25,0,1,0,0,0,0,2.1
26.01.2023,"853,503",26,0,0,1,0,0,0,2.1
27.01.2023,"881,631",27,0,0,0,1,0,0,5.2
28.01.2023,"767,455",28,0,0,0,0,1,0,6.2
29.01.2023,"688,186",29,0,0,0,0,0,1,3.7
30.01.2023,"854,263",30,0,0,0,0,0,0,1.6
31.01.2023,"876,458",31,1,0,0,0,0,0,1.4
01.02.2023,"838,855",32,0,1,0,0,0,0,0.2
02.02.2023,"907,250",33,0,0,1,0,0,0,-0.8
03.02.2023,"758,075",34,0,0,0,1,0,0,0
04.02.2023,"830,732",35,0,0,0,0,1,0,-1.6
05.02.2023,"732,909",36,0,0,0,0,0,1,-1.9
